,Topic,document,Stance,Conclusion,Argument ID
4652,84,"Commercial banks help to create credit, which leads to increased production, employment, and consumer spending, all of which help to grow the economy.",in favor of,We should forbid neo-banks,D02016
4653,84,"Since neo-banks are completely digital, they operate 24 hours a day and their services can be accessed at any time. They are easy to access from anywhere through a smartphone.",against,We should forbid neo-banks,D02017
4654,84,"Fintech companies can open specialized neo-banks that target a specific type of customer’s needs. For example, LXME aims to become India’s first Neo bank for women, which will offer product solutions that address women-specific financial needs and emotional preferences.",against,We should forbid neo-banks,D02018
4655,84,"5G in banking will bring much-needed financial inclusion to India’s rural and remote populations, for whom access to a physical bank is not possible.",in favor of,5G services should be available across India,D02019
4656,-1,"The low latency of 5G will enable the inclusion of education in remote areas of India, where children will be able to access good quality education at home without any network lag between them and their favorite tutor. Also, 5G will make it possible to use new-age technologies like AR and VR for more immersive learning in schools and colleges.",in favor of,5G services should be available across India,D02020
4657,69,"5G will vastly increase the number of networks that can be connected, handling up to a trillion Internet of Things terminals, which will enable machines and humans in a factory to communicate with each other seamlessly, making the business more efficient and reducing the possibility of error.",in favor of,5G services should be available across India,D02021
4658,85,"The government will be able to improve its governance and give a boost to its digital India initiative, which aims to ensure the government’s services are made available to citizens electronically, making the country digitally empowered in the field of technology.",in favor of,5G services should be available across India,D02022
4659,1,"Hydrogen is flammable and can cause fires or explosions. So, it is not completely safe yet.",against,We should subsidize hydrogen vehicles,D02023
4660,1,"If the production of hydrogen fuel uses fossil fuels, that can be counterproductive. So, using renewable energy to produce hydrogen fuel is important.",against,We should subsidize hydrogen vehicles,D02024
4661,1,"Hydrogen fuel cell vehicles do not emit greenhouse gases. This helps to fight climate change. As many countries are opting for energy transition, clean hydrogen fuel vehicles along with other alternative fuel vehicles can pave the way to sustainable transportation. Also, as these vehicles do not emit greenhouse gases such as carbon dioxide, they can cut air pollution to a great extent.",in favor of,We should subsidize hydrogen vehicles,D02025
4662,1,"The prices of fossil fuels are increasing continuously. So, if more hydrogen vehicles come into the market, the price of fossil fuels may reduce.",in favor of,We should subsidize hydrogen vehicles,D02026
4663,1,"Hydrogen vehicles are much quieter than fossil fuel-based vehicles. So, they can reduce noise pollution too.",in favor of,We should subsidize hydrogen vehicles,D02027
4664,1,"If the hydrogen fuel escapes into the air, it can increase global warming.",against,We should subsidize hydrogen vehicles,D02028
4665,69,"During the covid pandemic time, social media helped people in maintaining their social life.Social media made it possible to stay connected with friends and loved ones all the time. We can easily know what is happening in their lives. It allowed us to communicate with multiple people at the same time by sharing posts.",against,Social media is making us less social,D02029
4666,69,"Due to social media, now we have the opportunity to connect with many people, even if they do not live in our area. Before social media, we could interact with people from either our locality or the places we go.",against,Social media is making us less social,D02030
4667,69,"By following friends on social media and not communicating with them privately, we can only know the things they post on their accounts. We may not know much about what is really happening in their lives. That means we will have no meaningful connections with friends. The convenience of contacting people online made us prefer it over meeting them outside.",in favor of,Social media is making us less social,D02031
4668,0,"A few people now have social anxiety due to not having enough face-to-face interactions. When we avoid talking to people for a long time, automatically we develop a fear to involve in small talk.",in favor of,Social media is making us less social,D02032
4669,69,Trolling on social media is a big menace. It is affecting the self-esteem of many people and is also making them avoid forming social connections.,in favor of,Social media is making us less social,D02033
4670,11,"In the book “iGen”, it was mentioned that in the next decade we may see more young people who know just the right emoji for a situation — but not the right facial expression. This can become true if we prefer virtual life over real life.",in favor of,Social media is making us less social,D02034
4671,69,"Through close-knit communities or micro-communities based on shared interests on social media along with private messaging, social media gave us an opportunity to build real connections with people we can really relate to.",against,Social media is making us less social,D02035
4672,6,"NEET exam standardizes the entrance criterion for medical education across the country. As a high score is required to get into government medical colleges, the exam ensures meritocracy.",against,NEET exam should be banned,D02036
4673,6,"But every year, less than 20% of the students are passing the exam. By this, it is evident that the quality of medical education in other countries where Indian students are studying is not at par with the medical education in India. So, it is very important to take steps to provide affordable and high-quality medical education in India.",against,NEET exam should be banned,D02037
4674,6,"As the exam requires additional study, coaching centers are taking advantage of the situation and are charging lakhs of rupees for the coaching for the NEET exam. So, due to this, students who cannot afford the coaching are at a disadvantage.",in favor of,NEET exam should be banned,D02038
4675,6,"Students work hard to score well in class 12 exams, but all that hard work is not recognized. And only the NEET score is considered for entry into medical college, which is very unfair. Moreover, the NEET exam is mainly based on the CBSE curriculum. So, state board students have to study additional things to get a good score on the exam.",in favor of,NEET exam should be banned,D02039
4676,6,"A high score in the NEET exam is required to get admission to government medical colleges in India. It costs approximately Rs.1.25 crores to study in private medical colleges in India. So, many students are forced to go to other countries such as China, Ukraine, Russia, the Philippines, etc. to pursue medical education. In those countries, medical education costs around Rs.35 lakhs. Moreover, they allow students with low NEET scores, but above cut-off marks.",in favor of,NEET exam should be banned,D02040
4677,2,Some people moonlight to pursue their passion when the earnings from their passion cannot replace the salary from their main job. Several entrepreneurs take this route and leave their jobs once they earn enough from their new ventures.,against,Companies should fight moonlighting,D02047
4678,2,"As per a study published by the Academy of Management Journal in 2021, moonlighting can provide a sense of control and motivation, which can improve the productivity of employees.",against,Companies should fight moonlighting,D02048
4679,2,The sudden layoffs by several companies especially during the pandemic caused fear in many employees. And hence several people took up side gigs or a second job as a safety net in case they are laid off.,against,Companies should fight moonlighting,D02049
4680,2,Moonlighting can help in upskilling. A few people want to learn new skills apart from what they are working on in their primary job. This can help them in developing expertise in their field. Some might get bored with monotonous jobs and hence take up second jobs to learn new skills and thereby make their days exciting.,against,Companies should fight moonlighting,D02050
4681,10,Companies fear information and sensitive data theft and the possibility of sharing it with their rival companies.,in favor of,Companies should fight moonlighting,D02051
4682,2,Some managers are worrying that the employees who moonlight may not be productive in their primary job due to fatigue and increased stress. There are also concerns about working for other companies during the office hours of my primary job.,in favor of,Companies should fight moonlighting,D02052
4683,16,"In general, companies provide several benefits to employees such as provident fund, health insurance, etc. So, they feel it is unfair when their employees focus their energy and time on a second job, which doesn’t provide any of those benefits.",in favor of,Companies should fight moonlighting,D02053
4684,84,"A cashless economy saves so much money for governments because printing money, and sending the money to banks requires money and human resources. The need to purchase or rent land for ATMs will also be eliminated. International payments will also be easier because there is no need to exchange currency.",in favor of,We should stop using cash,D02071
4685,84,Cashless transactions leave digital footprints of financial transactions. They can be used to trace illegal activities. ,in favor of,We should stop using cash,D02072
4686,84,COVID Pandemic increased the number of cashless transactions. They can prevent the spread of contagious diseases.,in favor of,We should stop using cash,D02073
4687,84,"Cashless transactions are recorded by banks. So, the data will reveal the critical data of people regarding where they spend money. The government can easily access the data of anyone. It may result in mass surveillance programs. This goes against the right to privacy. Cash gives us anonymity.",against,We should stop using cash,D02074
4688,84,A cashless economy will increase the number of cybercrimes.,against,We should stop using cash,D02075
4689,84,Technical issues in banking can halt access to our money. This can interfere with our daily lives.,against,We should stop using cash,D02076
4690,54,"Refugees are forcibly displaced. They flee their country for several reasons such as violence, human rights violations, war, persecution of minorities, etc. Often they face threats to life in their home countries. They leave their homes and everything else in search of a safer place to live.",in favor of,All countries should take responsibility for accepting refugees,D02077
4691,54,"At present, many countries are refusing refugees stating that they pose an economic or security threat. Only a few countries including Lebanon, Jordan, Turkey, and Liberia are accepting most of the refugees. Some host countries are forcibly sending refugees back to their home countries stating that such as the situation in their home countries is safe. Many refugees who were sent like this went through brutal violence and some people even disappeared.",in favor of,All countries should take responsibility for accepting refugees,D02078
4692,54,All countries should share the responsibility for refugees. Resettlement of the refugees should be done without much delay. They should be provided with skill development courses and employment opportunities to help them in living a dignified life.,in favor of,All countries should take responsibility for accepting refugees,D02079
4693,54,"A weak global response is worsening the situation of refugees. The international community should help in rebuilding the war-torn countries, where refugees are coming from, so that safe and dignified returns are possible for refugees. Refugees should not be forcibly sent to their home countries.",in favor of,All countries should take responsibility for accepting refugees,D02080
4694,54,"Many developed countries are spending so much money to protect their borders, but are not spending any money for protecting the lives of refugees. More funding is required to protect refugees.",in favor of,All countries should take responsibility for accepting refugees,D02081
4695,13,"In general, a few teachers punish students, who are not scoring well in exams but they do not even try to understand whether they have any learning disabilities. This causes self-esteem issues in students. Psychologists can detect these learning disabilities and can detect these issues and can collaborate with teachers to draft teaching strategies that are suitable for students with learning disabilities.",in favor of,We should have psychological counseling in educational institutions,D02082
4696,-1,"Many students struggle with several issues such as anxiety, self-esteem issues, trouble forming friendships, etc. Guidance and support are very important to help them overcome these problems. So, educational institutions should have mental health professionals to help students.",in favor of,We should have psychological counseling in educational institutions,D02083
4697,-1,"In 2020, on average 34 students committed suicide every day due to several reasons such as exam pressure, and relationship issues. So, it is very important to provide support for them in educational institutions. Counselors can help them to cope with the pressures and can help in improving their mental health. If the student suffers from mental health issues such as severe depression, counselors will take steps to get them treated by psychiatrists.",in favor of,We should have psychological counseling in educational institutions,D02084
4698,-1,"The covid pandemic affected the mental health of many people. As schools and colleges were shut down for a long time, many students felt isolated and that caused an even more negative impact on mental health. As schools and colleges have reopened, students need help to adapt to the new normal.",in favor of,We should have psychological counseling in educational institutions,D02085
4699,-1,"Some students do not even understand what they are going through, they may not even know how to ask for help. Having a counselor at their educational institution will help them a lot in understanding their issues. Moreover, they will learn how to ask for advice and help.",in favor of,We should have psychological counseling in educational institutions,D03001
4700,6,"When college education is free, the number of graduates will drastically increase. At present, many people do not have access to higher education. So many students are not joining colleges due to the financial status of their parents. Free education will be very helpful for them.",in favor of,College education should be free for everyone,D03007
4701,6,"At present, the rich are getting richer and poor people are getting poorer. A free college education will reduce social inequality too because as everyone can study and learn the skills in college, everyone will have an equal opportunity to settle in the career of their choice.",in favor of,College education should be free for everyone,D03008
4702,6,"Some students are taking education loans to study and then they have to work hard to repay their loans. Many people are forced to take up jobs immediately after college to repay loans. But with free education, they will have the liberty in career choices like choosing a job or becoming entrepreneurs or experimenting with gigs, etc.",in favor of,College education should be free for everyone,D03009
4703,6,"There is a shortage of skilled workers in many countries. When college education is free, this problem will be solved.",in favor of,College education should be free for everyone,D03010
4704,6,"At present, private investments in education led to improvement in the quality of education. Without the commercialization of education, the quality of education may not improve much.",against,College education should be free for everyone,D03011
4705,77,"Less disruption to public life, less road traffic, and less loss to our economy. As all the government staff can be used at a single time, we can also increase vigilance, and factors like black money, booth capturing, etc. can be reduced.",in favor of,India should have 'One Nation - One Election' policy ,D03012
4706,18,Holding both elections together will also mean mixing up the national issues with those of the state. The national issues would overpower the state which in turn would get less priority from the politicians.,against,India should have 'One Nation - One Election' policy ,D03013
4707,18,When state elections are conducted along with the center the regional parties may get marginalized because the same party getting majority in the center may get votes in the state as well.,against,India should have 'One Nation - One Election' policy ,D03014
4708,37,Frequent elections in the country will bring politicians back to the public frequently whereas cutting down on elections would mean making them lazy for the rest of the term and suddenly becoming overactive during the election year.,against,India should have 'One Nation - One Election' policy ,D03015
4709,33,"Almost 3 lakh people were employed in the firecracker industry in these places, and 5 lakh people in packaging, transporting, distributing, and selling these crackers. Thus, the ban would also mean huge unemployment in these states.",against,"Firecrackers should be banned during Diwali, other festivals, and weddings",D03020
4710,-1,"Bursting crackers on Diwali has always been on the to-do list in every family. A Deepavali without firecrackers will definitely be a cut-down in entertainment and recreation for the kids, as well as the elders.",against,"Firecrackers should be banned during Diwali, other festivals, and weddings",D03021
4711,-1,"Banning firecrackers in some places currently having pollution at its peak like Delhi-NCR will obviously bring down the poisonous emission of gases which has deadly effects on the entire balanced ecosystem. The highest level of particulate matter recorded in Delhi was 2.5 in the year 2016, which indeed made Delhi the most polluted city in the world in terms of air pollution. The “Central Pollution Control Board” also stated that the level of sulfur dioxide in the air gets tremendously high between 9 p.m. till midnight during Deepavali.",in favor of,"Firecrackers should be banned during Diwali, other festivals, and weddings",D03022
4712,-1,"The crackers regulated in the market comprise chemical components like saltpeter, carbon, and sulfur. When these are ignited altogether, hazardous oxides of gases are emitted which cause suffocation, reduce visibility, and other health hazards. Medical experts state that the air gets contaminated with toxic gases and remains for days after Diwali. The toxic elements that reach the lungs, cannot be removed thereafter and can cause grave health issues. This will cause long-term effects on children.",in favor of,"Firecrackers should be banned during Diwali, other festivals, and weddings",D03023
4713,50,"With the ban, religious sentiments get triggered too. In 2017, the Hindu community raised questions about the ban on Christmas trees on Christmas, or slaughter of lamb on Eid, or colors on Holi, etc., thinking it to be against their communal practices.",against,"Firecrackers should be banned during Diwali, other festivals, and weddings",D03024
4714,-1,India is the second most populous country in the world. It is already difficult for the Indian government to provide food security and basic necessities to all the people of India. Adding more burden to this will worsen the situation.,against,India should accept Rohingya refugees,D03030
4715,54,Accommodating refugees will cause resettling of some Indians. The Indian government tried to give shelter to Rohingyas by resettling some in the Jammu region. This may not be the right step and will cause distress to the resettled Indians.,against,India should accept Rohingya refugees,D03031
4716,54,"Rohingyas have their own set of ethnicity and culture. By accepting them, we will just be adding more culture to the already-vast culture of India.",in favor of,India should accept Rohingya refugees,D03032
4717,54,"Letting the Rohingya go back to the place where they do not get recognition means more loss of human lives, and to a greater extent. The population of the Rohingya is 1.1 million, and if the violence and torture continues on them, then there will be no person left in the community.",in favor of,India should accept Rohingya refugees,D03033
4718,54,Acceptance of the Rohingyas will definitely throw a good impression of the hospitality of our country to the foreign land. This will improve India’s chances to secure permanent membership in United Nations Security Council (UNSC).,in favor of,India should accept Rohingya refugees,D03034
4719,54,"Accepting refugees escaping from death situations is surely an act of humanity. Rohingya people have been treated brutally by the Burmese government due to racism. Being a neighboring country, we should be accepting those people who are in deep distress. ",in favor of,India should accept Rohingya refugees,D03035
4720,54,Allowing refugees is a potential security threat to any country. Refugees can be an easy prey to terrorists. They may take advantage of the situation and may carry out illegal activities using refugees.,against,India should accept Rohingya refugees,D03036
4721,4,"Consensual sex can also be termed as rape if the wife is willing to file a false case. There will be no proof to prove whether it is consensual or not. Punishing men based on the mere words of wives is completely wrong, because of the presumption that women do not lie. Good and bad are not related to gender. There are women criminals too.",against,Marital rape should be criminalized in India,D03037
4722,4,"The most misused law in the Indian judicial system is Section 498A, which allows women to file a case on a husband and his family in case of dowry harassment. Many women are using this law to extort money and property from their in-laws. If the law on marital rape comes into effect, many innocent men will be at threat.",against,Marital rape should be criminalized in India,D03038
4723,4,"Sexual violence violates human rights, irrespective of the relationship between the criminal and the victim. IPC 375, which criminalizes rape, discriminates against married women for using the section on their husbands. Though one can file a case under the domestic violence act for marital rape, not terming marital rape as a crime will deter the victims from filing cases. Every law on the planet is prone to be misused. That doesn’t mean that we should not have laws in order to avoid false cases.",in favor of,Marital rape should be criminalized in India,D03039
4724,-1,"There will be no sense of security. We cannot sleep peacefully because the cryptocurrency’s value keeps on fluctuating. Standard currencies fluctuate too, but not as high as cryptocurrencies. If the value of standard currency falls, we can still afford to live in our country, because the fall of currency value impacts all fields. For example, if the prices of groceries rise, so do our salaries. But if the value of cryptocurrencies like bitcoin falls, we will lose our hard-earned money.",against,Cryptocurrencies should be legalized,D03041
4725,-1,"The future belongs to technology. Cryptocurrencies make peer-to-peer financial transactions a lot easier. This currency can be sent from any part of the world to any part of the world. Hence there will be no struggle of exchanging currencies like Dollars for the Rupee etc. While traveling the world, there will no hurdle of exchanging our currencies with local currencies.",in favor of,Cryptocurrencies should be legalized,D03042
4726,9,"Reality shows give opportunity for children to bring out their hidden talents and to train their skills. It gives them a sense of purpose and direction from a very young age. The present education system doesn’t include other career options such as singing, acting, dancing, games, etc. Reality shows closes this loophole in the education system.",against,Kids' reality shows should be banned,D03054
4727,9,"Reality shows put enormous pressure on participants to perform well every time. Children cannot handle this stress, and this may cause mental health issues. Almost all reality shows involve the process of eliminating participants one by one at each level. Facing defeat in front of everyone is not that easy for children. This may put an emotional toll on children.",in favor of,Kids' reality shows should be banned,D03055
4728,9,"These days, many songs and dances in movies are not supposed to be seen by children. Singing and dancing to these obscene songs will exploit children’s innocence and creates confusion in their minds. ",in favor of,Kids' reality shows should be banned,D03056
4729,29,"Triple Talaq is a provision in Islamic personal law that allows men to divorce their wives by saying Talaq three times. Triple Talaq violates fundamental rights such as the right to equality, the right to non-discrimination, and the right to live with dignity because this provision is available only for men and not women. Women are subjected to live in fear of being unilaterally divorced by their husbands. This violates their right to live with dignity.",in favor of,Triple Talaq should be abolished,D03057
4730,-1,"Triple talaq should happen in three stages with time gaps. This allows time for reconciliation and arbitration. As instant divorce is a misuse of triple talaq, banning the provision itself is not the solution.",against,Triple Talaq should be abolished,D03058
4731,29,"Triple Talaq does not follow Quranic guidelines of discussion, arbitration to settle disputes, witnesses to divorce, the specified time period to reconcile, or even a genuine attempt to resolve differences.",in favor of,Triple Talaq should be abolished,D03059
4732,50,It is part of their faith and personal laws can’t be challenged. Article 25 (i) of Indian constitution provides freedom of religion.,against,Triple Talaq should be abolished,D03060
4733,-1,"If value of standard currency falls, we can still afford to live in our country, because the fall of currency value impacts all fields. For example, if the prices of groceries rise, so does our salaries. But if the value of cryptocurrencies like bitcoin falls, we will loose our hard earned money.",against,We can rely on Cryptocurrencies like Bitcoins,D27004
4734,84,"Ransomware hackers demanded their payment through bitcoins, because it protects identity of the person in financial transactions.",against,We can rely on Cryptocurrencies like Bitcoins,D27005
4735,50,"Many religions and different cultures are co-existing peacefully in India, which is quite surprising to the rest of the world. India is the best example for religious co-existence. If there is intolerance, this wouldn't be possible.",against,India is becoming intolerant,D27011
4736,33,Incidences of mob lynchings were increased these days in the name of unofficial beef ban. And the sad thing is that culprits are left unpunished.,in favor of,India is becoming intolerant,D27012
4737,4,Why everything is seen in a sexual nature? Brahmacharya doesn't mean women cannot worship god. Brahmacharya means observing celibacy. It doesn't mean that there shouldn't be female devotees of reproductive age. Narrow-minded people do not understand the difference between devotion and sexual attraction.,in favor of,The Sabarimala verdict is progressive and not a threat to traditions,D27013
4738,4,"Some other temples also ban women, and some temples ban men. If it is the same situation with Sabarimala, people wouldn't have bothered about it. But treating menstruation as impure and banning women of reproductive age is regressive and need to address. Menstruation is just a biological process. Not allowing menstruating women in temples sends a wrong message to people and future generations.",in favor of,The Sabarimala verdict is progressive and not a threat to traditions,D27014
4739,26,Sabarimala temple is taking funds from government and hence state government has the right to make changes in law for the temple.,in favor of,The Sabarimala verdict is progressive and not a threat to traditions,D27015
4740,20,"If anyone accuses any celebrity, the news will be breaking news for days on news channels. This is an infringement of personal rights. News channels are ignoring the basic thing that the allegations are not proved yet.",in favor of,News channels are breaking rules to give Breaking news,D27016
4741,20,"Reporters often try to make victims speak on the incident. Even in the cases of death, reporters rush to the incident and ask questions the victim's family, when they really need some space and time to grieve.",in favor of,News channels are breaking rules to give Breaking news,D27017
4742,11,"They are good time managers. As most of the women today manage work and home, they can prioritize their time well.",in favor of,Women are better managers than men,D27021
4743,11,"In general, they've coherent minds, are punctual and are dedicated to their work. These inbuilt qualities do make them better managers than men.",in favor of,Women are better managers than men,D27022
4744,-1,Such competitions and beauty pageant have a very wrong influence on society as we all quickly follow the media trends. All this is basically sending the wrong message to our younger generation girls where they are made to understand that being perfect and pretty is extremely necessary. This affects their self-esteem and may even cause depression.,in favor of,Beauty pageants should be banned,D27023
4745,32,"They promote cosmetic surgeries. Women these days, are ready to spend thousands of dollars on getting hair extensions, fake teeth, botox injections, body implants, spray tans, branded outfits and makeup products. This could be extremely expensive to afford and such expenses are never-ending. Cindy Jackson, a known television star. has a world record of 52 plastic surgeries done by her. Some women can even get addicted to such practices and then theirs no look back. This is the direct influence of society's importance to beauty.",in favor of,Beauty pageants should be banned,D27024
4746,32,Beauty pageant can increase the objectification of women.,in favor of,Beauty pageants should be banned,D27025
4747,1,"The majority of driverless cars are going to be Electric Vehicles (EV's) which will help in decreasing the pollution level in the country, which is also one of the major issues the country is facing.",in favor of,Driverless cars should be allowed in India,D27026
4748,1,"Even though driverless cars reduce vehicular accidents caused by human error, there are cases of driverless cars causing accidents.",against,Driverless cars should be allowed in India,D27027
4749,1,"If driverless cars are allowed in India, they can be used for a variety of other purposes also such as delivery or pickup service, which will also save time and human resources.",in favor of,Driverless cars should be allowed in India,D27028
4750,0,"US treaties with Mexico won't let them build anything on the Rio Grande River and the areas around it. Furthermore, most of the areas along the border in Texas are privately owned which leaves a large part of the border uncovered. So, building the wall is not going to bring any change.",against,US-Mexico border wall is a good thing,D27029
4751,0,"There is a fairly good chance that the wall is never going to make it up. Projects like these take a large amount of time to complete and if in the next Presidential elections, any other person gets elected, there will be more chances of him/her stopping the construction of the wall.",against,US-Mexico border wall is a good thing,D27030
4752,0,"According to the reports, illegal crossing of the borders has actually decreased from the year 2014 to 2015 which renders no use in building the wall.",against,US-Mexico border wall is a good thing,D27031
4753,54,"India has always been kind to refugees. Hence, the same spirit should be continued in the case of Rohingya community.",in favor of,India should accept Rohingya refugees,D27032
4754,54,"Accepting refugees escaping from death situations is surely an act of humanity. Rohingya people have been treated brutally by the Burmese government due to racism. Being a neighboring country, we should be accepting those people who are in deep distress.",in favor of,India should accept Rohingya refugees,D27033
4755,4,Article 15 of Indian constitution prohibits discrimination on the basis of gender. But the proposed law on marital rape in the petitions recognizes only female victims. Hence it is discriminatory to male victims.,against,Marital Rape should be criminalized in India,D27034
4756,4,"Punishing men based on mere words of wives is completely wrong, because of the presumption that women do not lie. Good and bad are not related to gender. There are women criminals too.",against,Marital Rape should be criminalized in India,D27035
4757,4,"IPC 375, which criminalizes rape, discriminates married women from using the section on their husbands.",in favor of,Marital Rape should be criminalized in India,D27036
4758,4,"These days, every man is considered as a potential rapist. If a woman makes a false molestation complaint against a man out of revenge or any other motive, society is more likely to believe the woman's words. Society and media exposes the accused before the investigation. This kind of attitude of society helps victims in genuine cases. But the scope of false cases is ignored. However the same is not true with the complaints against women. If the complaint is against a woman, people doubt about the genuinity of the case. What if the sexual harassment case against the man is a false case? Some people think like men can take anything. False molestation cases will result in the irreversible loss of reputation and causes mental agony to the accused and his family.",in favor of,Men are silent sufferers in this modern world,D27037
4759,4,"Many false domestic violence cases are being reported in India. Girl can drag their in-laws to court, but the same is not true with a boy. In many domestic violence cases, in-laws didn't even stay with couple, but are booked for 'influencing' the boy. Do girl's parents not 'influence' her? And the saddest thing is that girl can complain against her sister-in-law and sister-in-law's husband too under domestic violence, even if they are not staying at her place. Women can be as cruel as men in harassing their life partner.",in favor of,Men are silent sufferers in this modern world,D27038
4760,-1,"WikiLeaks has won a number of awards, including The Economist's New Media Award in 2008 and Amnesty International's UK Media Award in 2009.",in favor of,WikiLeaks is not a bane,D27039
4761,-1,Criminals may take advantage of this.,against,WikiLeaks is not a bane,D27040
4762,20,Leakage of sensitive government information.,against,WikiLeaks is not a bane,D27041
4763,13,There is no guarantee that illegal gambling activities will stop.,against,Betting and gambling should be legalized in India,D27044
4764,5,"Gambling addiction can lead to increase in crime rates, mental illnesses.",against,Betting and gambling should be legalized in India,D27045
4765,8,"Alcohol addiction is not just a threat to the person that drinks, but also to his/her entire family.",in favor of,We should ban alcohol in India,D27046
4766,77,Crimes and accidents will be reduced to some extent.,in favor of,We should ban alcohol in India,D27047
4767,-1,"Several kinds of jobs are increasingly getting replaced by technology. As per the reports, there is a significant drop in the typists, weavers, construction workers etc.",in favor of,Technology is rising Unemployment rates,D27048
4768,-1,"If any business depends heavily on human labour, it tends to fail as it cannot cope up with the competition from the technologically advanced competitors.",in favor of,Technology is rising Unemployment rates,D27049
4769,15,"India has a huge trade deficit with China. For the year 2017-18, India's imports from China are worth $76.2 billion dollars, whereas India's exports to China are worth $33 billion dollars. So, there is a need to reduce this trade deficit. ",in favor of,Chinese products should be banned in India,D27050
4770,15,"Imports from China are hurting the businesses of Indian manufacturers, especially Medium Small &amp; Micro Enterprises (MSME) sector. China is able to produce products for cheaper prices because of its mass production methods. ",in favor of,Chinese products should be banned in India,D27051
4771,15,"China is blocking India's bid to list Masood Azhar as a terrorist. Not just this, China is blocking India from becoming a member of Nuclear Suppliers Group (NSG) using its veto power. On one hand China wants to maintain good trade relations with India, and on the other hand, it is acting against India in many cases. So, maintaining good trade relations with China may not be a good thing. ",in favor of,Chinese products should be banned in India,D27052
4772,-1,"Trump has been prioritizing some noticeable issues like the Muslim immigration clampdown, challenging the independence of the Fed, bizarre and ill-qualified cabinet selections, antagonizing China and other trading partners for no reason or embracing Russia and its rogue regime. This is not acceptable beyond limits and can turn people and communities against him.",against,Donald Trump's Presidency was a good thing,D27053
4773,0,Racism &amp; white supremacy has increased in Trump's term.,against,Donald Trump's Presidency was a good thing,D27054
4774,9,Every child is different. Homeschooling allows to design the curriculum based on the student's capabilities and interests.,in favor of,Homeschooling should be encouraged in India ,D27055
4775,9,Children can better explore themselves when they do not have constraints.,in favor of,Homeschooling should be encouraged in India ,D27056
4776,7,"If the children are used to uniforms, they will no issues in the future if their profession demands uniform.",in favor of,Uniforms should be mandatory in schools,D27057
4777,7,"It reduces financial burden, because there is no need to buy many clothes.",in favor of,Uniforms should be mandatory in schools,D27058
4778,-1,Stray dogs are often carriers of diseases because of the lack of care.,in favor of,Stray animals should be killed,D27059
4779,-1,There are alternatives to killing stray animals. Sterilization and culling instead of killing them can solve the problem.,against,Stray animals should be killed,D27060
4780,-1,"We have no right to suffer animals, even though there are benefits for us.",against,Experimenting on Animals is fair,D27064
4781,-1,Tests can be done on human volunteers with their consent. But animals are forced to take tests with no choice.,against,Experimenting on Animals is fair,D27065
4782,81,"Criminal will feel the pain of the victim, if he is subjected to the same kind of harassment. Thereby, he may not commit the crime again in his life.",in favor of,Rapists should be tortured,D27066
4783,5,We are living in a civilized society. World is preferring humane ways to deal with everyone including criminals. We should not stoop to the criminal's level by torturing him/her in inhumane ways.,against,Rapists should be tortured,D27067
4784,4,"Throughout India, many false rape cases are being registered these days. Torturing all of the accused persons causes torture to innocent persons too.",against,Rapists should be tortured,D27068
4785,9,Reality shows give opportunity for children to bring out their hidden talents and to finess their skills.,against,We should ban kids' reality shows,D27071
4786,9,"Reality shows act like a launchpad for children into the film industry. Some of the present singers, choreographers are made into the movies through reality shows for children.",against,We should ban kids' reality shows,D27072
4787,9,Almost all reality shows involves the process of eliminating participants one by one at each level. Facing defeat infront of everyone is not that easy for children. This may put an emotional toll on children.,in favor of,We should ban kids' reality shows,D27073
4788,20,"Through censorship, money power will rule society. It's a fact that rich people influence politics.",in favor of,Censorship of movies is an outdated concept,D27074
4789,9,"Filmmakers spend lot of money and time to make movies. If parts of the movie is cut in the name of censorship, they will be discouraged to make more movies.",in favor of,Censorship of movies is an outdated concept,D27075
4790,20,Censorship causes imposition of majoritarian ideals on others.,in favor of,Censorship of movies is an outdated concept,D27076
4791,-1,Reduction of complexity in filling ITR's:,in favor of,Aadhaar should be made mandatory in India,D27080
4792,32,Failed biometric authentication.,against,Aadhaar should be made mandatory in India,D27081
4793,12,Many people are being kidnapped for organs. Illegal human organ trafficking is in almost every country. Some poor people are selling organs. All these things are consequences of organs shortage.,in favor of,Organ donation should be made compulsory,D27087
4794,12,Not all organ transplantation surgeries are successful. The body of recipient may reject the organ of the donor.,against,Organ donation should be made compulsory,D27088
4795,12,Many people are in need of organ replacement surgeries to survive. There is a shortage of organ donors. Hence compulsory organ donation after death can ensure that no one will die due to the non-availability of healthy organs.,in favor of,Organ donation should be made compulsory,D27089
4796,-1,Industries are also one of the worst hits. Investors may lose interest to invest in manufacturing sector as bandh by anyone results in the loss to them.,in favor of,There should be a ban on Bandhs,D27092
4797,-1,"Though right to protest is a fundamental right, people do not have right to take away the fundamental rights of others such as going to their work, doing their personal works etc. Not everyone is against to the changes by government. Some people may support it and may not support the ban. Forcing them to stay at home is undemocratic.",in favor of,There should be a ban on Bandhs,D27093
4798,-1,"Most of the bandhs results in violence. Some political parties and organizations intentionally causes violence by setting public properties on fire, by destroying vehicles and by injuring the common people.",in favor of,There should be a ban on Bandhs,D27094
4799,9,"The standards of Indian cinemas fall at times because of nepotism. Producers and directors are pushing star kids to launch in their movies, failing to judge their acting skills and screen presence. This leads to flop movies and a loss of quality and standards of the Indian cinemas.",in favor of,Nepotism exists in Bollywood,D27095
